_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6964a3d187635c091f37b9e1,true,77.2,97.01,77.2,64.24,386;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1768203217000
69627b4e87635c091f272eb7,true,76.41,96.73,76.41,73.52,382;0;0;0,time,60,-1,0,59.99,0,0,true,false,english,,normal,false,false,false,,1768061774000
6960f8ae87635c091f18ebb4,,67.57,94.57,67.81,67.73,5084;0;0;0,custom,custom,-1,0,902.83,2,0,false,false,english,,normal,false,false,false,,1767962798000
695fd18687635c091f0dcf0d,,66.93,94.58,67.17,68.33,4046;0;0;0,custom,custom,-1,0,725.37,0,0,false,false,english,,normal,false,false,false,,1767887238000
695fad9e87635c091f0bb780,,52.64,94.32,54.56,54.06,1124;0;0;0,custom,custom,-1,0,256.25,0,0,false,false,english,,normal,false,false,false,,1767878046000
695ec32e87635c091f03ff59,,64.94,94.69,65.14,64.69,5005;0;0;0,custom,custom,-1,0,924.91,3,0,false,false,english,,normal,false,false,false,,1767818030000
695ebc4487635c091f03b3d4,,65.78,96.47,68.11,67.29,1359;0;0;0,custom,custom,-1,0,247.9,1,0,false,false,english,,normal,false,false,false,,1767816260000
69592ad5783db59f59a36c0d,true,69,95.2,69.29,65.19,3335;0;0;0,custom,custom,-1,0,579.99,8,0,false,false,english,,normal,false,false,false,,1767451349000
695905f3783db59f59a21cb2,,65.66,95.87,65.94,70.86,2313;0;0;0,custom,custom,-1,0,422.74,0,0,false,false,english,,normal,false,false,false,,1767441907000
695549fa783db59f59872a73,,65.82,93.95,66.03,67.99,4965;0;0;0,custom,custom,-1,0,905.17,2,0,false,false,english,,normal,false,false,false,,1767197178000
69542773783db59f597ee40b,true,68.92,94.97,69.16,69.54,4981;0;0;0,custom,custom,-1,0,867.33,3,0,false,false,english,,normal,false,false,false,,1767122803000
6953e2df783db59f597c4b0b,,67.17,94.1,67.44,65.97,3433;0;0;0,custom,custom,-1,0,613.32,7,0,false,false,english,,normal,false,false,false,,1767105247000
69504625783db59f5960acba,,63.72,95.16,65.15,65.2,3641;1;1;0,custom,custom,-1,0,685.7,0,0,false,false,english,,normal,false,false,false,,1766868517000
69502d60783db59f595ff8b3,,68.6,95.58,69.05,68.86,3374;1;0;0,custom,custom,-1,0,590.22,1,0,false,false,english,,normal,false,false,false,,1766862176000
694ecb33783db59f5955d772,,67.9,95.23,68.1,65.8,2066;0;0;0,custom,custom,-1,0,365.12,4,0,false,false,english,,normal,false,false,false,,1766771507000
694cf51b783db59f594772c0,true,68.73,95.63,68.93,66.33,2066;0;0;0,custom,custom,-1,0,360.7,9,0,false,false,english,,normal,false,false,false,,1766651163000
69496f4d783db59f592c4f81,,63.64,94.6,63.82,66.66,2046;0;0;0,custom,custom,-1,0,385.81,2,0,false,false,english,,normal,false,false,false,,1766420301000
6947fb0b783db59f592072b6,,63.96,94.98,64.32,68.2,2142;0;0;0,custom,custom,-1,0,401.88,1,0,false,false,english,,normal,false,false,false,,1766325003000
6947f93f783db59f59206054,,65.67,95.71,65.96,67.74,2305;0;0;0,custom,custom,-1,0,421.17,1,0,false,false,english,,normal,false,false,false,,1766324543000
6942776e854566ecd90c98b3,,80.39,96.99,80.39,74.71,129;0;0;0,words,25,-1,0,19.26,0,0,false,false,english,,normal,false,false,false,,1765963630000
693d5ca13540add646d1619a,,69.81,90.97,69.81,57.85,129;0;0;0,words,25,-1,0,22.18,0,0,false,false,english,,normal,false,false,false,,1765629089000
693d5c873540add646d160a1,true,80.77,93.38,80.77,72.41,127;0;0;0,words,25,-1,0,18.87,0,0,false,false,english,,normal,false,false,false,,1765629063000
693c38b43540add646c775ec,,62.03,95.04,62.26,63.37,2092;0;0;0,custom,custom,-1,0,404.73,5,0,false,false,english,,normal,false,false,false,,1765554356000
693c36e23540add646c759f0,,68.46,91.52,68.46,60.1,150;0;0;0,words,25,-1,0,26.29,0,0,true,false,english,,normal,false,false,false,,1765553890000
693c36913540add646c75526,true,70.08,95.64,70.08,71.79,524;0;0;0,words,100,-1,0,89.72,0,0,false,false,english,,normal,false,false,false,,1765553809000
693aa61a3540add646b68680,,67.7,93.85,67.95,66.76,5361;0;0;0,custom,custom,-1,0,950.3,2,0,false,false,english,,normal,false,false,false,,1765451290000
693a97513540add646b5f20d,,64.34,94.04,64.58,63.38,6554;0;0;0,custom,custom,-1,0,1222.32,17,0,false,false,english,,normal,false,false,false,,1765447505000
693a90253540add646b5ac5e,,66.3,93.85,66.79,66.17,6161;0;1;0,custom,custom,-1,0,1115.09,4,0,false,false,english,,normal,false,false,false,,1765445669000
69395806dd1047f2057b1905,,55.43,93.78,57.43,57.61,8423;0;0;0,custom,custom,-1,0,1823.41,13,0,false,false,english,,normal,false,false,false,,1765365766000
6936d936dd1047f205604c4c,,65.17,93.25,65.43,65.94,7592;0;0;1,custom,custom,-1,0,1397.9,1,0,false,false,english,,normal,false,false,false,,1765202230000
6936cb8add1047f2055f91e3,,61.73,94.63,62.67,61.45,7398;4;0;0,custom,custom,-1,0,1438.12,14,0,false,false,english,,normal,false,false,false,,1765198730000
69357a45dd1047f205544245,,65.07,95.34,65.07,64.36,3721;0;0;0,custom,custom,-1,1,686.22,5,2.8,false,false,english,,normal,false,false,false,,1765112389000
6932fd6cdd1047f2053f6de3,,66.31,94.87,66.5,66.79,5073;0;0;0,custom,custom,-1,0,918.01,0,0,false,false,english,,normal,false,false,false,,1764949356000
6932a11add1047f2053b0bb0,,65.13,94.71,65.3,67.3,4597;0;0;0,custom,custom,-1,0,846.96,1,0,false,false,english,,normal,false,false,false,,1764925722000
6931c133dd1047f20532cf16,,65.05,94.8,65.24,68.12,4132;0;0;0,custom,custom,-1,0,762.28,0,0,false,false,english,,normal,false,false,false,,1764868403000
